HStanding, H	5v5G+/-	, HGA	, Hwinstreak	,   HPPSuccess, HOSh%	 ,  HPDO	  , HGF	, HF+/-	 , HG+/-	,   HPKSuccess, HFF%	, HOSv%, AStanding, A	5v5G+/-	, AGA	, Awinstreak	, APPSuccess, AOSh%	 , APDO	  , AGF	, AF+/-	 ,  AG+/-	,   APKSuccess, AFF%	, AOSv%, Class,
0.933333333333, 0.420289855072, 0.0236966824645, 0.0, 0.0, 0.331632653061, 0.0, 0.00904977375566, 0.560355781449, 0.372549019608, 1.0, 0.544776119403, 0.0, 0.0666666666667, 0.485714285714, 0.00485436893204, 0.0, 0.0, 0.518292682927, 0.652459016393, 0.00943396226415, 0.525510204082, 0.43137254902, 0.716450216446, 0.347639484979, 0.856382978723, 1,
0.8, 0.405797101449, 0.0284360189573, 0.0, 0.187499999991, 0.0867346938776, 0.0120967741935, 0.00452488687783, 0.560355781449, 0.352941176471, 0.838509316719, 0.466417910448, 0.326923076923, 0.133333333333, 0.485714285714, 0.00485436893204, 0.0, 0.478260869544, 0.719512195122, 0.727868852459, 0.00943396226415, 0.526785714286, 0.43137254902, 0.621933621966, 0.317596566524, 0.803191489362, 1,
1.0, 0.420289855072, 0.0236966824645, 0.0, 0.0, 0.331632653061, 0.0, 0.00904977375566, 0.560355781449, 0.372549019608, 1.0, 0.544776119403, 0.0, 0.2, 0.457142857143, 0.0145631067961, 0.0, 0.0956521739089, 0.378048780488, 0.35737704918, 0.00471698113208, 0.524234693878, 0.401960784314, 0.621933621966, 0.296137339056, 0.5, 0,
0.0, 0.507246376812, 0.0142180094787, 0.0, 0.0, 0.688775510204, 0.798387096774, 0.0316742081448, 0.522236340534, 0.441176470588, 0.858695652171, 0.111940298507, 0.820512820513, 0.466666666667, 0.414285714286, 0.0194174757282, 0.0, 0.07971014494, 0.262195121951, 0.0786885245902, 0.00471698113208, 0.547193877551, 0.392156862745, 1.0, 0.811158798283, 0.148936170213, 0,
0.533333333333, 0.449275362319, 0.00473933649289, 0.0, 0.0, 0.19387755102, 0.326612903226, 0.00452488687783, 0.561626429479, 0.401960784314, 0.623188405828, 0.615671641791, 0.692307692308, 0.266666666667, 0.485714285714, 0.0, 0.0, 0.0956521739089, 1.0, 1.0, 0.0141509433962, 0.529336734694, 0.450980392157, 1.0, 0.377682403433, 1.0, 1,
0.333333333333, 0.478260869565, 0.0, 0.0, 0.499999999925, 0.408163265306, 0.665322580645, 0.00904977375566, 0.536213468869, 0.421568627451, 1.0, 0.108208955224, 0.961538461538, 0.6, 0.414285714286, 0.0291262135922, 0.0, 0.0, 0.286585365854, 0.0, 0.00471698113208, 0.544642857143, 0.372549019608, 1.0, 0.690987124464, 0.0, 0,
0.2, 0.492753623188, 0.0142180094787, 0.0, 0.499999999925, 0.852040816327, 0.467741935484, 0.0226244343891, 0.561626429479, 0.421568627451, 0.246376811543, 0.589552238806, 0.0897435897436, 0.4, 0.485714285714, 0.00485436893204, 0.0, 0.0, 0.481707317073, 0.590163934426, 0.00943396226415, 0.548469387755, 0.43137254902, 0.773160173157, 0.81974248927, 0.787234042553, 0,
0.466666666667, 0.449275362319, 0.0189573459716, 0.0, 0.299999999985, 0.367346938776, 0.467741935484, 0.0226244343891, 0.552731893266, 0.411764705882, 1.0, 0.391791044776, 0.698717948718, 0.333333333333, 0.471428571429, 0.0145631067961, 0.0, 0.0, 0.231707317073, 0.304918032787, 0.00471698113208, 0.542091836735, 0.401960784314, 0.621933621966, 0.643776824034, 0.542553191489, 0,
0.866666666667, 0.434782608696, 0.0189573459716, 0.0, 1.0, 0.887755102041, 0.524193548387, 0.0180995475113, 0.536213468869, 0.401960784314, 1.0, 0.134328358209, 0.134615384615, 0.533333333333, 0.471428571429, 0.0, 0.0, 0.191304347818, 0.65243902439, 0.813114754098, 0.00943396226415, 0.529336734694, 0.441176470588, 1.0, 0.412017167382, 1.0, 0,
0.133333333333, 0.521739130435, 0.0, 0.0, 0.0, 0.581632653061, 0.818548387097, 0.0226244343891, 0.566709021601, 0.450980392157, 1.0, 0.634328358209, 0.99358974359, 0.666666666667, 0.4, 0.0242718446602, 0.0, 0.0, 0.0914634146341, 0.140983606557, 0.0, 0.515306122449, 0.372549019608, 1.0, 0.167381974249, 0.393617021277, 1,
